----- [collect_eva_numbers.py] Start:2026-08-30 00:59:25 ------
2026-08-29 22:59:25 INFO started collecting EVA-Numbers
2026-08-29 22:59:28 INFO 200: Connection successfull after 0 attempts
2026-08-29 22:59:28 INFO Successfully collected EVA-Numbers
----- [collect_eva_numbers.py] End:2026-08-30 00:59:28 ------
----- [collect_api_data.py] Start:2026-08-30 00:59:28 ------
2026-08-29 22:59:28 INFO Data collection started.
2026-08-29 23:15:40 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/00
2026-08-29 23:15:44 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/01
2026-08-29 23:15:48 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/02
2026-08-29 23:15:52 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/03
2026-08-29 23:15:56 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/04
2026-08-29 23:15:59 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070786/260830/05
2026-08-29 23:16:03 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/00
2026-08-29 23:16:07 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/01
2026-08-29 23:16:11 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/02
2026-08-29 23:16:15 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/03
2026-08-29 23:16:19 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/04
2026-08-29 23:16:23 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8070787/260830/05
